"제어번호","제목","저자","발행처","발행년도","ISBN번호","분류기호","대출횟수"
"000001383732","(나를 숨 쉬게 하는) 보통의 언어들","김이나 지음","위즈덤하우스","2020","9791190786355","8","9"
"000001556888","(보도 섀퍼의) 돈","보도 섀퍼 지음","에포케","2022","9788919205013","3","9"
"000001509078","(서울 자가에 대기업 다니는) 김 부장 이야기 .2 ,정 대리?권 사원 편","송희구 지음","서삼독","2021","9791165344009","3","9"
"000001314638","가재가 노래하는 곳 :델리아 오언스 장편소설","델리아 오언스 [지음]","살림 : 살림출판사","2019","9788952240569","8","9"
"000001626275","눈부신 안부 :백수린 장편소설","백수린 지음","문학동네","2023","9788954699372","8","9"
"000001476231","달까지 가자 :장류진 장편소설","장류진 지음","창비","2021","9788936434496","8","9"
"000001634631","도시와 그 불확실한 벽 :무라카미 하루키 장편소설","무라카미 하루키 지음","문학동네","2023","9788954699075","8","9"
"000001633416","레이크사이드 :히가시노 게이고 장편소설","히가시노 게이고 지음","하빌리스: 대원씨아이","2023","9791171240593","8","9"
"000001569980","마흔에 읽는 니체 :지금 이 순간을 살기 위한 철학 수업: Nietzsche","장재형 지음","유노북스: 유노콘텐츠그룹","2022","9791192300245","1","9"
"000001577908","만일 내가 인생을 다시 산다면 :벌써 마흔이 된 당신에게 해 주고 싶은 말들 42","김혜남 지음","메이븐","2022","9791190538510","1","9"
"000001395189","매우 예민한 사람들을 위한 책 :뇌과학과 정신의학이 들려주는 당신 마음에 대한 이야기","전홍진 지음","글항아리","2020","9788967358020","1","9"
"000000517173","불안의 서","페르난두 페소아 [지음]","봄날의책","2014","9788996997962","8","9"
"000000786756","사피엔스 :유인원에서 사이보그까지, 인간 역사의 대담하고 위대한 질문","유발 하라리 지음","김영사","2015","9788934972464","9","9"
"000001631432","아주 희미한 빛으로도 :최은영 소설","최은영 지음","문학동네","2023","9788954695053","8","9"
"000001485574","완전한 행복 :정유정 장편소설","정유정 지음","은행나무","2021","9791167370280","8","9"
"000001303998","월급쟁이 부자로 은퇴하라 :3년 만에 30년 치 연봉을 번 김 과장의 시스템 마련법","너나위 지음","RHK(알에이치코리아)","2019","9788925566511","3","9"
"000001575373","인생의 역사 :'공무도하가'에서 '사랑의 발명'까지 : 신형철 시화(詩話)","신형철 지음","난다","2022","9791191859379","8","9"
